backswing,vp,trial_number,session,block
False,vp1,0,_Session1_d01_,fam01
False,vp1,0,_Session2_d02_,b01
False,vp1,0,_Session3_d03_,b01
False,vp1,100,_Session1_d01_,b01
False,vp1,100,_Session2_d02_,b03
False,vp1,100,_Session3_d03_,b03
False,vp1,101,_Session1_d01_,b01
False,vp1,101,_Session3_d03_,b03
False,vp1,102,_Session1_d01_,b01
False,vp1,102,_Session2_d02_,b03
False,vp1,102,_Session3_d03_,b03
False,vp1,103,_Session1_d01_,b01
False,vp1,103,_Session2_d02_,b03
False,vp1,103,_Session3_d03_,b03
False,vp1,104,_Session1_d01_,b01
False,vp1,104,_Session3_d03_,b03
False,vp1,105,_Session1_d01_,b01
False,vp1,105,_Session2_d02_,b03
False,vp1,105,_Session3_d03_,b03
False,vp1,106,_Session1_d01_,b01
False,vp1,106,_Session2_d02_,b03
False,vp1,106,_Session3_d03_,b03
False,vp1,107,_Session1_d01_,b01
False,vp1,107,_Session2_d02_,b03
False,vp1,107,_Session3_d03_,b03
False,vp1,108,_Session1_d01_,b01
False,vp1,108,_Session2_d02_,b03
False,vp1,108,_Session3_d03_,b03
False,vp1,109,_Session1_d01_,b01
False,vp1,109,_Session2_d02_,b03
False,vp1,109,_Session3_d03_,b03
False,vp1,10,_Session1_d01_,fam01
False,vp1,10,_Session3_d03_,b01
True,vp1,110,_Session1_d01_,b01
False,vp1,110,_Session2_d02_,b03
False,vp1,111,_Session1_d01_,b01
False,vp1,111,_Session2_d02_,b03
False,vp1,111,_Session3_d03_,b03
False,vp1,112,_Session1_d01_,b01
False,vp1,112,_Session2_d02_,b03
False,vp1,112,_Session3_d03_,b03
False,vp1,113,_Session1_d01_,b01
False,vp1,114,_Session1_d01_,b01
False,vp1,114,_Session2_d02_,b03
False,vp1,114,_Session3_d03_,b03
False,vp1,115,_Session1_d01_,b01
False,vp1,115,_Session2_d02_,b03
False,vp1,115,_Session3_d03_,b03
False,vp1,116,_Session1_d01_,b01
False,vp1,116,_Session2_d02_,b03
False,vp1,116,_Session3_d03_,b03
False,vp1,117,_Session1_d01_,b01
False,vp1,117,_Session2_d02_,b03
False,vp1,117,_Session3_d03_,b03
False,vp1,118,_Session1_d01_,b01
False,vp1,118,_Session2_d02_,b03
False,vp1,118,_Session3_d03_,b03
False,vp1,119,_Session1_d01_,b01
False,vp1,119,_Session3_d03_,b03
False,vp1,11,_Session1_d01_,fam01
False,vp1,11,_Session2_d02_,b01
False,vp1,120,_Session1_d01_,b01
False,vp1,120,_Session2_d02_,b03
False,vp1,120,_Session3_d03_,b03
False,vp1,121,_Session1_d01_,b01
False,vp1,121,_Session2_d02_,b03
False,vp1,121,_Session3_d03_,b03
False,vp1,122,_Session2_d02_,b03
False,vp1,123,_Session1_d01_,b01
False,vp1,123,_Session2_d02_,b03
False,vp1,123,_Session3_d03_,b03
False,vp1,124,_Session1_d01_,b01
False,vp1,124,_Session2_d02_,b03
False,vp1,124,_Session3_d03_,b03
False,vp1,125,_Session1_d01_,b01
False,vp1,125,_Session3_d03_,b03
False,vp1,126,_Session1_d01_,b01
False,vp1,126,_Session2_d02_,b03
False,vp1,126,_Session3_d03_,b03
False,vp1,127,_Session1_d01_,b01
False,vp1,127,_Session2_d02_,b03
False,vp1,127,_Session3_d03_,b03
False,vp1,128,_Session1_d01_,b01
False,vp1,129,_Session1_d01_,b01
False,vp1,129,_Session2_d02_,b03
False,vp1,129,_Session3_d03_,b03
False,vp1,12,_Session1_d01_,fam01
False,vp1,12,_Session2_d02_,b01
False,vp1,12,_Session3_d03_,b01
False,vp1,130,_Session1_d01_,b01
False,vp1,130,_Session2_d02_,b03
False,vp1,130,_Session3_d03_,b03
False,vp1,131,_Session1_d01_,b01
False,vp1,131,_Session2_d02_,b03
False,vp1,132,_Session1_d01_,b01
False,vp1,132,_Session2_d02_,b03
False,vp1,132,_Session3_d03_,b03
False,vp1,133,_Session1_d01_,b01
False,vp1,133,_Session2_d02_,b03
False,vp1,133,_Session3_d03_,b03
False,vp1,134,_Session1_d01_,b01
False,vp1,134,_Session2_d02_,b03
False,vp1,134,_Session3_d03_,b03
False,vp1,135,_Session1_d01_,b01
False,vp1,135,_Session2_d02_,b03
False,vp1,135,_Session3_d03_,b03
False,vp1,136,_Session1_d01_,b01
False,vp1,136,_Session2_d02_,b03
False,vp1,136,_Session3_d03_,b03
False,vp1,137,_Session1_d01_,b01
False,vp1,137,_Session2_d02_,b03
False,vp1,137,_Session3_d03_,b03
False,vp1,138,_Session2_d02_,b03
False,vp1,138,_Session3_d03_,b03
False,vp1,139,_Session1_d01_,b01
False,vp1,139,_Session2_d02_,b03
False,vp1,139,_Session3_d03_,b03
False,vp1,13,_Session1_d01_,fam01
False,vp1,13,_Session2_d02_,b01
False,vp1,13,_Session3_d03_,b01
False,vp1,140,_Session1_d01_,b01
False,vp1,140,_Session2_d02_,b03
False,vp1,141,_Session1_d01_,b01
False,vp1,141,_Session2_d02_,b03
False,vp1,141,_Session3_d03_,b03
False,vp1,142,_Session1_d01_,b01
False,vp1,142,_Session2_d02_,b03
False,vp1,142,_Session3_d03_,b03
False,vp1,143,_Session1_d01_,b01
False,vp1,143,_Session2_d02_,b03
False,vp1,143,_Session3_d03_,b03
False,vp1,144,_Session1_d01_,b02
False,vp1,144,_Session2_d02_,b04
False,vp1,144,_Session3_d03_,b04
False,vp1,145,_Session1_d01_,b02
False,vp1,145,_Session2_d02_,b04
False,vp1,146,_Session1_d01_,b02
False,vp1,146,_Session2_d02_,b04
False,vp1,147,_Session1_d01_,b02
False,vp1,147,_Session2_d02_,b04
False,vp1,147,_Session3_d03_,b04
False,vp1,148,_Session1_d01_,b02
False,vp1,148,_Session2_d02_,b04
False,vp1,148,_Session3_d03_,b04
True,vp1,149,_Session1_d01_,b02
False,vp1,14,_Session1_d01_,fam01
False,vp1,14,_Session3_d03_,b01
False,vp1,150,_Session1_d01_,b02
False,vp1,150,_Session2_d02_,b04
False,vp1,150,_Session3_d03_,b04
False,vp1,151,_Session1_d01_,b02
False,vp1,151,_Session2_d02_,b04
False,vp1,152,_Session1_d01_,b02
False,vp1,152,_Session2_d02_,b04
False,vp1,152,_Session3_d03_,b04
False,vp1,153,_Session1_d01_,b02
False,vp1,153,_Session2_d02_,b04
False,vp1,153,_Session3_d03_,b04
False,vp1,154,_Session1_d01_,b02
False,vp1,154,_Session2_d02_,b04
False,vp1,154,_Session3_d03_,b04
False,vp1,155,_Session1_d01_,b02
False,vp1,155,_Session3_d03_,b04
False,vp1,156,_Session1_d01_,b02
False,vp1,156,_Session2_d02_,b04
False,vp1,157,_Session1_d01_,b02
False,vp1,157,_Session2_d02_,b04
False,vp1,157,_Session3_d03_,b04
False,vp1,158,_Session1_d01_,b02
False,vp1,158,_Session2_d02_,b04
False,vp1,158,_Session3_d03_,b04
False,vp1,159,_Session1_d01_,b02
False,vp1,159,_Session2_d02_,b04
False,vp1,159,_Session3_d03_,b04
False,vp1,15,_Session1_d01_,fam01
False,vp1,15,_Session2_d02_,b01
False,vp1,15,_Session3_d03_,b01
False,vp1,160,_Session1_d01_,b02
False,vp1,160,_Session2_d02_,b04
False,vp1,160,_Session3_d03_,b04
False,vp1,161,_Session1_d01_,b02
False,vp1,161,_Session3_d03_,b04
False,vp1,162,_Session2_d02_,b04
False,vp1,162,_Session3_d03_,b04
False,vp1,163,_Session1_d01_,b02
False,vp1,163,_Session2_d02_,b04
False,vp1,163,_Session3_d03_,b04
False,vp1,164,_Session1_d01_,b02
False,vp1,164,_Session2_d02_,b04
False,vp1,164,_Session3_d03_,b04
False,vp1,165,_Session1_d01_,b02
False,vp1,165,_Session2_d02_,b04
False,vp1,165,_Session3_d03_,b04
False,vp1,166,_Session1_d01_,b02
False,vp1,166,_Session2_d02_,b04
False,vp1,166,_Session3_d03_,b04
False,vp1,167,_Session1_d01_,b02
False,vp1,167,_Session3_d03_,b04
False,vp1,168,_Session1_d01_,b02
False,vp1,168,_Session2_d02_,b04
False,vp1,168,_Session3_d03_,b04
False,vp1,169,_Session1_d01_,b02
False,vp1,169,_Session2_d02_,b04
False,vp1,169,_Session3_d03_,b04
False,vp1,16,_Session1_d01_,fam01
False,vp1,16,_Session2_d02_,b01
False,vp1,16,_Session3_d03_,b01
False,vp1,170,_Session1_d01_,b02
False,vp1,171,_Session1_d01_,b02
False,vp1,171,_Session2_d02_,b04
False,vp1,171,_Session3_d03_,b04
False,vp1,172,_Session1_d01_,b02
False,vp1,172,_Session2_d02_,b04
False,vp1,172,_Session3_d03_,b04
True,vp1,173,_Session1_d01_,b02
False,vp1,174,_Session2_d02_,b04
False,vp1,174,_Session3_d03_,b04
False,vp1,175,_Session1_d01_,b02
False,vp1,175,_Session2_d02_,b04
False,vp1,175,_Session3_d03_,b04
False,vp1,177,_Session1_d01_,b02
False,vp1,177,_Session2_d02_,b04
False,vp1,177,_Session3_d03_,b04
False,vp1,178,_Session1_d01_,b02
False,vp1,178,_Session2_d02_,b04
False,vp1,178,_Session3_d03_,b04
False,vp1,179,_Session1_d01_,b02
False,vp1,179,_Session2_d02_,b04
False,vp1,179,_Session3_d03_,b04
False,vp1,17,_Session1_d01_,fam01
False,vp1,17,_Session2_d02_,b01
False,vp1,17,_Session3_d03_,b01
False,vp1,180,_Session1_d01_,b02
False,vp1,180,_Session2_d02_,b04
False,vp1,180,_Session3_d03_,b04
False,vp1,181,_Session1_d01_,b02
False,vp1,181,_Session2_d02_,b04
False,vp1,181,_Session3_d03_,b04
False,vp1,182,_Session1_d01_,b02
