,horizontal_difference,trial
0,5.105499267578125,vp16_0_Session3_d03_b01_1
1,5.105499267578125,vp16_0_Session3_d03_b01_1
2,5.105499267578125,vp16_0_Session3_d03_b01_1
0,4.565582275390625,vp16_1_Session3_d03_b01_2
1,4.565582275390625,vp16_1_Session3_d03_b01_2
2,4.565582275390625,vp16_1_Session3_d03_b01_2
0,23.010467529296875,vp16_2_Session3_d03_b01_3
1,23.010467529296875,vp16_2_Session3_d03_b01_3
2,23.010467529296875,vp16_2_Session3_d03_b01_3
3,-20.08624268,vp16_2_Session3_d03_b01_3
4,-20.08624268,vp16_2_Session3_d03_b01_3
5,-20.08624268,vp16_2_Session3_d03_b01_3
0,0.048156738,vp16_3_Session3_d03_b01_4
1,0.048156738,vp16_3_Session3_d03_b01_4
2,0.048156738,vp16_3_Session3_d03_b01_4
0,-7.079193115,vp16_4_Session3_d03_b01_5
1,-7.079193115,vp16_4_Session3_d03_b01_5
2,-7.079193115,vp16_4_Session3_d03_b01_5
0,-5.285797119,vp16_5_Session3_d03_b01_6
1,-5.285797119,vp16_5_Session3_d03_b01_6
2,-5.285797119,vp16_5_Session3_d03_b01_6
3,-29.54824829,vp16_5_Session3_d03_b01_6
4,-29.54824829,vp16_5_Session3_d03_b01_6
5,-29.54824829,vp16_5_Session3_d03_b01_6
0,10.07623291015625,vp16_6_Session3_d03_b01_7
1,10.07623291015625,vp16_6_Session3_d03_b01_7
2,10.07623291015625,vp16_6_Session3_d03_b01_7
0,30.83447266,vp16_7_Session3_d03_b01_8
1,30.83447266,vp16_7_Session3_d03_b01_8
2,30.83447266,vp16_7_Session3_d03_b01_8
0,-20.68563843,vp16_8_Session3_d03_b01_9
1,-20.68563843,vp16_8_Session3_d03_b01_9
2,-20.68563843,vp16_8_Session3_d03_b01_9
0,-2.754974365,vp16_9_Session3_d03_b01_10
1,-2.754974365,vp16_9_Session3_d03_b01_10
2,-2.754974365,vp16_9_Session3_d03_b01_10
0,5.397827148,vp16_10_Session3_d03_b01_11
1,5.397827148,vp16_10_Session3_d03_b01_11
2,5.397827148,vp16_10_Session3_d03_b01_11
0,48.82348633,vp16_11_Session3_d03_b01_12
1,48.82348633,vp16_11_Session3_d03_b01_12
2,48.82348633,vp16_11_Session3_d03_b01_12
3,-1.933044434,vp16_11_Session3_d03_b01_12
4,-1.933044434,vp16_11_Session3_d03_b01_12
5,-1.933044434,vp16_11_Session3_d03_b01_12
0,0.775024414,vp16_12_Session3_d03_b01_13
1,0.775024414,vp16_12_Session3_d03_b01_13
2,0.775024414,vp16_12_Session3_d03_b01_13
0,-26.08328247,vp16_13_Session3_d03_b01_14
1,-26.08328247,vp16_13_Session3_d03_b01_14
2,-26.08328247,vp16_13_Session3_d03_b01_14
0,20.11395263671875,vp16_14_Session3_d03_b01_15
1,20.11395263671875,vp16_14_Session3_d03_b01_15
2,20.11395263671875,vp16_14_Session3_d03_b01_15
3,-32.05786133,vp16_14_Session3_d03_b01_15
4,-32.05786133,vp16_14_Session3_d03_b01_15
5,-32.05786133,vp16_14_Session3_d03_b01_15
0,2.608337402,vp16_15_Session3_d03_b01_16
1,2.608337402,vp16_15_Session3_d03_b01_16
2,2.608337402,vp16_15_Session3_d03_b01_16
0,-11.05133057,vp16_16_Session3_d03_b01_17
1,-11.05133057,vp16_16_Session3_d03_b01_17
2,-11.05133057,vp16_16_Session3_d03_b01_17
0,17.450042724609375,vp16_17_Session3_d03_b01_18
1,17.450042724609375,vp16_17_Session3_d03_b01_18
2,17.450042724609375,vp16_17_Session3_d03_b01_18
3,-24.75756836,vp16_17_Session3_d03_b01_18
4,-24.75756836,vp16_17_Session3_d03_b01_18
5,-24.75756836,vp16_17_Session3_d03_b01_18
0,12.00854492,vp16_18_Session3_d03_b01_19
1,12.00854492,vp16_18_Session3_d03_b01_19
2,12.00854492,vp16_18_Session3_d03_b01_19
0,3.712677001953125,vp16_19_Session3_d03_b01_20
1,3.712677001953125,vp16_19_Session3_d03_b01_20
2,3.712677001953125,vp16_19_Session3_d03_b01_20
0,49.07092285,vp16_20_Session3_d03_b01_21
1,49.07092285,vp16_20_Session3_d03_b01_21
2,49.07092285,vp16_20_Session3_d03_b01_21
0,10.943328857421875,vp16_21_Session3_d03_b01_22
1,10.943328857421875,vp16_21_Session3_d03_b01_22
2,10.943328857421875,vp16_21_Session3_d03_b01_22
0,-26.1048584,vp16_22_Session3_d03_b01_23
1,-26.1048584,vp16_22_Session3_d03_b01_23
2,-26.1048584,vp16_22_Session3_d03_b01_23
0,-8.988891602,vp16_23_Session3_d03_b01_24
1,-8.988891602,vp16_23_Session3_d03_b01_24
2,-8.988891602,vp16_23_Session3_d03_b01_24
0,14.173980712890625,vp16_24_Session3_d03_b01_25
1,14.173980712890625,vp16_24_Session3_d03_b01_25
2,14.173980712890625,vp16_24_Session3_d03_b01_25
0,12.996002197265625,vp16_25_Session3_d03_b01_26
1,12.996002197265625,vp16_25_Session3_d03_b01_26
2,12.996002197265625,vp16_25_Session3_d03_b01_26
0,18.597808837890625,vp16_26_Session3_d03_b01_27
1,18.597808837890625,vp16_26_Session3_d03_b01_27
2,18.597808837890625,vp16_26_Session3_d03_b01_27
3,-5.072113037,vp16_26_Session3_d03_b01_27
4,-5.072113037,vp16_26_Session3_d03_b01_27
5,-5.072113037,vp16_26_Session3_d03_b01_27
0,9.434875488,vp16_27_Session3_d03_b01_28
1,9.434875488,vp16_27_Session3_d03_b01_28
2,9.434875488,vp16_27_Session3_d03_b01_28
0,3.619140625,vp16_28_Session3_d03_b01_29
1,3.619140625,vp16_28_Session3_d03_b01_29
2,3.619140625,vp16_28_Session3_d03_b01_29
0,-46.11169434,vp16_29_Session3_d03_b01_30
1,-46.11169434,vp16_29_Session3_d03_b01_30
2,-46.11169434,vp16_29_Session3_d03_b01_30
0,12.46734619140625,vp16_30_Session3_d03_b01_31
1,12.46734619140625,vp16_30_Session3_d03_b01_31
2,12.46734619140625,vp16_30_Session3_d03_b01_31
0,-10.14208984,vp16_31_Session3_d03_b01_32
1,-10.14208984,vp16_31_Session3_d03_b01_32
2,-10.14208984,vp16_31_Session3_d03_b01_32
0,-25.14019775,vp16_32_Session3_d03_b01_33
1,-25.14019775,vp16_32_Session3_d03_b01_33
2,-25.14019775,vp16_32_Session3_d03_b01_33
0,12.68066406,vp16_33_Session3_d03_b01_34
1,12.68066406,vp16_33_Session3_d03_b01_34
2,12.68066406,vp16_33_Session3_d03_b01_34
0,43.994964599609375,vp16_35_Session3_d03_b01_36
1,43.994964599609375,vp16_35_Session3_d03_b01_36
2,43.994964599609375,vp16_35_Session3_d03_b01_36
0,3.389892578,vp16_36_Session3_d03_b01_37
1,3.389892578,vp16_36_Session3_d03_b01_37
2,3.389892578,vp16_36_Session3_d03_b01_37
0,-19.8197937,vp16_37_Session3_d03_b01_38
1,-19.8197937,vp16_37_Session3_d03_b01_38
2,-19.8197937,vp16_37_Session3_d03_b01_38
0,-19.24798584,vp16_38_Session3_d03_b01_39
1,-19.24798584,vp16_38_Session3_d03_b01_39
2,-19.24798584,vp16_38_Session3_d03_b01_39
0,-2.04019165,vp16_40_Session3_d03_b01_41
1,-2.04019165,vp16_40_Session3_d03_b01_41
2,-2.04019165,vp16_40_Session3_d03_b01_41
3,3.873626708984375,vp16_40_Session3_d03_b01_41
4,3.873626708984375,vp16_40_Session3_d03_b01_41
5,3.873626708984375,vp16_40_Session3_d03_b01_41
0,-24.85345459,vp16_41_Session3_d03_b01_42
1,-24.85345459,vp16_41_Session3_d03_b01_42
2,-24.85345459,vp16_41_Session3_d03_b01_42
0,11.783294677734375,vp16_42_Session3_d03_b01_43
1,11.783294677734375,vp16_42_Session3_d03_b01_43
2,11.783294677734375,vp16_42_Session3_d03_b01_43
0,23.096954345703125,vp16_43_Session3_d03_b01_44
1,23.096954345703125,vp16_43_Session3_d03_b01_44
2,23.096954345703125,vp16_43_Session3_d03_b01_44
3,-19.16314697,vp16_43_Session3_d03_b01_44
4,-19.16314697,vp16_43_Session3_d03_b01_44
5,-19.16314697,vp16_43_Session3_d03_b01_44
0,6.358795166015625,vp16_44_Session3_d03_b01_45
1,6.358795166015625,vp16_44_Session3_d03_b01_45
2,6.358795166015625,vp16_44_Session3_d03_b01_45
3,-35.36087036,vp16_44_Session3_d03_b01_45
4,-35.36087036,vp16_44_Session3_d03_b01_45
5,-35.36087036,vp16_44_Session3_d03_b01_45
0,0.403259277,vp16_45_Session3_d03_b01_46
1,0.403259277,vp16_45_Session3_d03_b01_46
2,0.403259277,vp16_45_Session3_d03_b01_46
0,-4.325012207,vp16_46_Session3_d03_b01_47
1,-4.325012207,vp16_46_Session3_d03_b01_47
2,-4.325012207,vp16_46_Session3_d03_b01_47
0,15.314727783203125,vp16_47_Session3_d03_b01_48
1,15.314727783203125,vp16_47_Session3_d03_b01_48
2,15.314727783203125,vp16_47_Session3_d03_b01_48
3,-4.390655518,vp16_47_Session3_d03_b01_48
4,-4.390655518,vp16_47_Session3_d03_b01_48
5,-4.390655518,vp16_47_Session3_d03_b01_48
0,18.89215087890625,vp16_48_Session3_d03_b02_1
1,18.89215087890625,vp16_48_Session3_d03_b02_1
2,18.89215087890625,vp16_48_Session3_d03_b02_1
0,6.730499267578125,vp16_49_Session3_d03_b02_2
1,6.730499267578125,vp16_49_Session3_d03_b02_2
2,6.730499267578125,vp16_49_Session3_d03_b02_2
0,-46.21856689,vp16_50_Session3_d03_b02_3
1,-46.21856689,vp16_50_Session3_d03_b02_3
2,-46.21856689,vp16_50_Session3_d03_b02_3
0,17.13757324,vp16_51_Session3_d03_b02_4
1,17.13757324,vp16_51_Session3_d03_b02_4
2,17.13757324,vp16_51_Session3_d03_b02_4
0,-23.35290527,vp16_52_Session3_d03_b02_5
1,-23.35290527,vp16_52_Session3_d03_b02_5
2,-23.35290527,vp16_52_Session3_d03_b02_5
0,-12.43569946,vp16_53_Session3_d03_b02_6
1,-12.43569946,vp16_53_Session3_d03_b02_6
2,-12.43569946,vp16_53_Session3_d03_b02_6
3,-20.19033813,vp16_53_Session3_d03_b02_6
4,-20.19033813,vp16_53_Session3_d03_b02_6
5,-20.19033813,vp16_53_Session3_d03_b02_6
0,2.562652587890625,vp16_54_Session3_d03_b02_7
1,2.562652587890625,vp16_54_Session3_d03_b02_7
2,2.562652587890625,vp16_54_Session3_d03_b02_7
0,-12.74755859,vp16_55_Session3_d03_b02_8
1,-12.74755859,vp16_55_Session3_d03_b02_8
2,-12.74755859,vp16_55_Session3_d03_b02_8
0,-20.58432007,vp16_56_Session3_d03_b02_9
1,-20.58432007,vp16_56_Session3_d03_b02_9
2,-20.58432007,vp16_56_Session3_d03_b02_9
3,-13.3583374,vp16_56_Session3_d03_b02_9
4,-13.3583374,vp16_56_Session3_d03_b02_9
5,-13.3583374,vp16_56_Session3_d03_b02_9
0,13.440216064453125,vp16_57_Session3_d03_b02_10
1,13.440216064453125,vp16_57_Session3_d03_b02_10
2,13.440216064453125,vp16_57_Session3_d03_b02_10
0,4.34942627,vp16_58_Session3_d03_b02_11
1,4.34942627,vp16_58_Session3_d03_b02_11
2,4.34942627,vp16_58_Session3_d03_b02_11
0,-19.47415161,vp16_59_Session3_d03_b02_12
1,-19.47415161,vp16_59_Session3_d03_b02_12
2,-19.47415161,vp16_59_Session3_d03_b02_12
0,25.41003418,vp16_60_Session3_d03_b02_13
1,25.41003418,vp16_60_Session3_d03_b02_13
2,25.41003418,vp16_60_Session3_d03_b02_13
0,-8.895294189,vp16_61_Session3_d03_b02_14
1,-8.895294189,vp16_61_Session3_d03_b02_14
2,-8.895294189,vp16_61_Session3_d03_b02_14
0,-10.79519653,vp16_62_Session3_d03_b02_15
1,-10.79519653,vp16_62_Session3_d03_b02_15
2,-10.79519653,vp16_62_Session3_d03_b02_15
0,15.668548583984375,vp16_63_Session3_d03_b02_16
1,15.668548583984375,vp16_63_Session3_d03_b02_16
2,15.668548583984375,vp16_63_Session3_d03_b02_16
0,-10.1305542,vp16_64_Session3_d03_b02_17
1,-10.1305542,vp16_64_Session3_d03_b02_17
2,-10.1305542,vp16_64_Session3_d03_b02_17
0,-23.44674683,vp16_65_Session3_d03_b02_18
1,-23.44674683,vp16_65_Session3_d03_b02_18
2,-23.44674683,vp16_65_Session3_d03_b02_18
0,-2.320068359,vp16_66_Session3_d03_b02_19
1,-2.320068359,vp16_66_Session3_d03_b02_19
2,-2.320068359,vp16_66_Session3_d03_b02_19
0,-9.058837891,vp16_68_Session3_d03_b02_21
1,-9.058837891,vp16_68_Session3_d03_b02_21
2,-9.058837891,vp16_68_Session3_d03_b02_21
0,6.657867431640625,vp16_69_Session3_d03_b02_22
1,6.657867431640625,vp16_69_Session3_d03_b02_22
2,6.657867431640625,vp16_69_Session3_d03_b02_22
0,-2.814666748,vp16_70_Session3_d03_b02_23
1,-2.814666748,vp16_70_Session3_d03_b02_23
2,-2.814666748,vp16_70_Session3_d03_b02_23
0,19.124603271484375,vp16_71_Session3_d03_b02_24
1,19.124603271484375,vp16_71_Session3_d03_b02_24
2,19.124603271484375,vp16_71_Session3_d03_b02_24
3,-16.65072632,vp16_71_Session3_d03_b02_24
4,-16.65072632,vp16_71_Session3_d03_b02_24
5,-16.65072632,vp16_71_Session3_d03_b02_24
0,10.235931396484375,vp16_72_Session3_d03_b02_25
1,10.235931396484375,vp16_72_Session3_d03_b02_25
2,10.235931396484375,vp16_72_Session3_d03_b02_25
0,-8.325531006,vp16_73_Session3_d03_b02_26
1,-8.325531006,vp16_73_Session3_d03_b02_26
2,-8.325531006,vp16_73_Session3_d03_b02_26
0,22.249359130859375,vp16_74_Session3_d03_b02_27
1,22.249359130859375,vp16_74_Session3_d03_b02_27
2,22.249359130859375,vp16_74_Session3_d03_b02_27
3,-16.0793457,vp16_74_Session3_d03_b02_27
4,-16.0793457,vp16_74_Session3_d03_b02_27
5,-16.0793457,vp16_74_Session3_d03_b02_27
6,-4.805847168,vp16_74_Session3_d03_b02_27
7,-4.805847168,vp16_74_Session3_d03_b02_27
8,-4.805847168,vp16_74_Session3_d03_b02_27
0,9.423278809,vp16_75_Session3_d03_b02_28
1,9.423278809,vp16_75_Session3_d03_b02_28
2,9.423278809,vp16_75_Session3_d03_b02_28
0,-17.82885742,vp16_76_Session3_d03_b02_29
1,-17.82885742,vp16_76_Session3_d03_b02_29
2,-17.82885742,vp16_76_Session3_d03_b02_29
0,12.3380127,vp16_78_Session3_d03_b02_31
1,12.3380127,vp16_78_Session3_d03_b02_31
2,12.3380127,vp16_78_Session3_d03_b02_31
0,2.389953613,vp16_79_Session3_d03_b02_32
1,2.389953613,vp16_79_Session3_d03_b02_32
2,2.389953613,vp16_79_Session3_d03_b02_32
0,0.955200195,vp16_81_Session3_d03_b02_34
1,0.955200195,vp16_81_Session3_d03_b02_34
2,0.955200195,vp16_81_Session3_d03_b02_34
0,-3.713775635,vp16_82_Session3_d03_b02_35
1,-3.713775635,vp16_82_Session3_d03_b02_35
2,-3.713775635,vp16_82_Session3_d03_b02_35
0,-8.041046143,vp16_83_Session3_d03_b02_36
1,-8.041046143,vp16_83_Session3_d03_b02_36
2,-8.041046143,vp16_83_Session3_d03_b02_36
3,-6.563262939,vp16_83_Session3_d03_b02_36
4,-6.563262939,vp16_83_Session3_d03_b02_36
5,-6.563262939,vp16_83_Session3_d03_b02_36
0,15.195159912109375,vp16_84_Session3_d03_b02_37
1,15.195159912109375,vp16_84_Session3_d03_b02_37
2,15.195159912109375,vp16_84_Session3_d03_b02_37
0,11.969024658203125,vp16_85_Session3_d03_b02_38
1,11.969024658203125,vp16_85_Session3_d03_b02_38
2,11.969024658203125,vp16_85_Session3_d03_b02_38
0,40.122528076171875,vp16_86_Session3_d03_b02_39
1,40.122528076171875,vp16_86_Session3_d03_b02_39
2,40.122528076171875,vp16_86_Session3_d03_b02_39
3,25.25244141,vp16_86_Session3_d03_b02_39
4,25.25244141,vp16_86_Session3_d03_b02_39
5,25.25244141,vp16_86_Session3_d03_b02_39
6,-5.600524902,vp16_86_Session3_d03_b02_39
7,-5.600524902,vp16_86_Session3_d03_b02_39
8,-5.600524902,vp16_86_Session3_d03_b02_39
0,3.746673583984375,vp16_87_Session3_d03_b02_40
1,3.746673583984375,vp16_87_Session3_d03_b02_40
2,3.746673583984375,vp16_87_Session3_d03_b02_40
0,33.02166748046875,vp16_89_Session3_d03_b02_42
1,33.02166748046875,vp16_89_Session3_d03_b02_42
2,33.02166748046875,vp16_89_Session3_d03_b02_42
3,-8.917938232,vp16_89_Session3_d03_b02_42
4,-8.917938232,vp16_89_Session3_d03_b02_42
5,-8.917938232,vp16_89_Session3_d03_b02_42
0,11.70599365234375,vp16_90_Session3_d03_b02_43
1,11.70599365234375,vp16_90_Session3_d03_b02_43
2,11.70599365234375,vp16_90_Session3_d03_b02_43
0,3.386352539,vp16_91_Session3_d03_b02_44
1,3.386352539,vp16_91_Session3_d03_b02_44
2,3.386352539,vp16_91_Session3_d03_b02_44
0,-13.9190979,vp16_92_Session3_d03_b02_45
1,-13.9190979,vp16_92_Session3_d03_b02_45
2,-13.9190979,vp16_92_Session3_d03_b02_45
0,-1.564117432,vp16_93_Session3_d03_b02_46
1,-1.564117432,vp16_93_Session3_d03_b02_46
2,-1.564117432,vp16_93_Session3_d03_b02_46
0,3.331970215,vp16_94_Session3_d03_b02_47
1,3.331970215,vp16_94_Session3_d03_b02_47
2,3.331970215,vp16_94_Session3_d03_b02_47
0,9.399719238,vp16_95_Session3_d03_b02_48
1,9.399719238,vp16_95_Session3_d03_b02_48
2,9.399719238,vp16_95_Session3_d03_b02_48
0,17.98297119140625,vp16_96_Session3_d03_b03_1
1,17.98297119140625,vp16_96_Session3_d03_b03_1
2,17.98297119140625,vp16_96_Session3_d03_b03_1
0,10.86322021484375,vp16_97_Session3_d03_b03_2
1,10.86322021484375,vp16_97_Session3_d03_b03_2
2,10.86322021484375,vp16_97_Session3_d03_b03_2
0,-8.800689697,vp16_98_Session3_d03_b03_3
1,-8.800689697,vp16_98_Session3_d03_b03_3
2,-8.800689697,vp16_98_Session3_d03_b03_3
0,-4.569854736,vp16_99_Session3_d03_b03_4
1,-4.569854736,vp16_99_Session3_d03_b03_4
2,-4.569854736,vp16_99_Session3_d03_b03_4
0,21.952239990234375,vp16_100_Session3_d03_b03_5
1,21.952239990234375,vp16_100_Session3_d03_b03_5
2,21.952239990234375,vp16_100_Session3_d03_b03_5
0,-1.683258057,vp16_101_Session3_d03_b03_6
1,-1.683258057,vp16_101_Session3_d03_b03_6
2,-1.683258057,vp16_101_Session3_d03_b03_6
3,-8.756713867,vp16_101_Session3_d03_b03_6
4,-8.756713867,vp16_101_Session3_d03_b03_6
5,-8.756713867,vp16_101_Session3_d03_b03_6
0,13.64434814453125,vp16_102_Session3_d03_b03_7
1,13.64434814453125,vp16_102_Session3_d03_b03_7
2,13.64434814453125,vp16_102_Session3_d03_b03_7
0,-5.873321533,vp16_103_Session3_d03_b03_8
1,-5.873321533,vp16_103_Session3_d03_b03_8
2,-5.873321533,vp16_103_Session3_d03_b03_8
0,21.438995361328125,vp16_104_Session3_d03_b03_9
1,21.438995361328125,vp16_104_Session3_d03_b03_9
2,21.438995361328125,vp16_104_Session3_d03_b03_9
3,-18.64520264,vp16_104_Session3_d03_b03_9
4,-18.64520264,vp16_104_Session3_d03_b03_9
5,-18.64520264,vp16_104_Session3_d03_b03_9
0,4.278564453,vp16_105_Session3_d03_b03_10
1,4.278564453,vp16_105_Session3_d03_b03_10
2,4.278564453,vp16_105_Session3_d03_b03_10
0,8.605743408203125,vp16_106_Session3_d03_b03_11
1,8.605743408203125,vp16_106_Session3_d03_b03_11
2,8.605743408203125,vp16_106_Session3_d03_b03_11
0,-13.70874023,vp16_107_Session3_d03_b03_12
1,-13.70874023,vp16_107_Session3_d03_b03_12
2,-13.70874023,vp16_107_Session3_d03_b03_12
0,13.764068603515625,vp16_108_Session3_d03_b03_13
1,13.764068603515625,vp16_108_Session3_d03_b03_13
2,13.764068603515625,vp16_108_Session3_d03_b03_13
0,1.436279297,vp16_109_Session3_d03_b03_14
1,1.436279297,vp16_109_Session3_d03_b03_14
2,1.436279297,vp16_109_Session3_d03_b03_14
3,-4.363739014,vp16_109_Session3_d03_b03_14
4,-4.363739014,vp16_109_Session3_d03_b03_14
5,-4.363739014,vp16_109_Session3_d03_b03_14
0,7.375976563,vp16_111_Session3_d03_b03_16
1,7.375976563,vp16_111_Session3_d03_b03_16
2,7.375976563,vp16_111_Session3_d03_b03_16
0,44.438201904296875,vp16_112_Session3_d03_b03_17
1,44.438201904296875,vp16_112_Session3_d03_b03_17
2,44.438201904296875,vp16_112_Session3_d03_b03_17
0,-12.97518921,vp16_113_Session3_d03_b03_18
1,-12.97518921,vp16_113_Session3_d03_b03_18
2,-12.97518921,vp16_113_Session3_d03_b03_18
3,-0.65927124,vp16_113_Session3_d03_b03_18
4,-0.65927124,vp16_113_Session3_d03_b03_18
5,-0.65927124,vp16_113_Session3_d03_b03_18
0,-5.921203613,vp16_114_Session3_d03_b03_19
1,-5.921203613,vp16_114_Session3_d03_b03_19
2,-5.921203613,vp16_114_Session3_d03_b03_19
0,1.488342285,vp16_115_Session3_d03_b03_20
1,1.488342285,vp16_115_Session3_d03_b03_20
2,1.488342285,vp16_115_Session3_d03_b03_20
0,-5.092498779,vp16_116_Session3_d03_b03_21
1,-5.092498779,vp16_116_Session3_d03_b03_21
2,-5.092498779,vp16_116_Session3_d03_b03_21
0,4.589141845703125,vp16_117_Session3_d03_b03_22
1,4.589141845703125,vp16_117_Session3_d03_b03_22
2,4.589141845703125,vp16_117_Session3_d03_b03_22
0,-15.34173584,vp16_118_Session3_d03_b03_23
1,-15.34173584,vp16_118_Session3_d03_b03_23
2,-15.34173584,vp16_118_Session3_d03_b03_23
0,7.919158935546875,vp16_119_Session3_d03_b03_24
1,7.919158935546875,vp16_119_Session3_d03_b03_24
2,7.919158935546875,vp16_119_Session3_d03_b03_24
0,8.092041016,vp16_120_Session3_d03_b03_25
1,8.092041016,vp16_120_Session3_d03_b03_25
2,8.092041016,vp16_120_Session3_d03_b03_25
0,-3.477905273,vp16_121_Session3_d03_b03_26
1,-3.477905273,vp16_121_Session3_d03_b03_26
2,-3.477905273,vp16_121_Session3_d03_b03_26
0,-13.69702148,vp16_122_Session3_d03_b03_27
1,-13.69702148,vp16_122_Session3_d03_b03_27
2,-13.69702148,vp16_122_Session3_d03_b03_27
0,10.246673583984375,vp16_123_Session3_d03_b03_28
1,10.246673583984375,vp16_123_Session3_d03_b03_28
2,10.246673583984375,vp16_123_Session3_d03_b03_28
0,-13.85671997,vp16_124_Session3_d03_b03_29
1,-13.85671997,vp16_124_Session3_d03_b03_29
2,-13.85671997,vp16_124_Session3_d03_b03_29
0,-0.941467285,vp16_125_Session3_d03_b03_30
1,-0.941467285,vp16_125_Session3_d03_b03_30
2,-0.941467285,vp16_125_Session3_d03_b03_30
0,10.101104736328125,vp16_126_Session3_d03_b03_31
1,10.101104736328125,vp16_126_Session3_d03_b03_31
2,10.101104736328125,vp16_126_Session3_d03_b03_31
0,-7.388824463,vp16_127_Session3_d03_b03_32
1,-7.388824463,vp16_127_Session3_d03_b03_32
2,-7.388824463,vp16_127_Session3_d03_b03_32
0,-9.684143066,vp16_128_Session3_d03_b03_33
1,-9.684143066,vp16_128_Session3_d03_b03_33
2,-9.684143066,vp16_128_Session3_d03_b03_33
0,-4.734191895,vp16_129_Session3_d03_b03_34
1,-4.734191895,vp16_129_Session3_d03_b03_34
2,-4.734191895,vp16_129_Session3_d03_b03_34
0,-8.4246521,vp16_130_Session3_d03_b03_35
1,-8.4246521,vp16_130_Session3_d03_b03_35
2,-8.4246521,vp16_130_Session3_d03_b03_35
0,-19.38442993,vp16_131_Session3_d03_b03_36
1,-19.38442993,vp16_131_Session3_d03_b03_36
2,-19.38442993,vp16_131_Session3_d03_b03_36
0,17.03979492,vp16_132_Session3_d03_b03_37
1,17.03979492,vp16_132_Session3_d03_b03_37
2,17.03979492,vp16_132_Session3_d03_b03_37
0,-0.898956299,vp16_133_Session3_d03_b03_38
1,-0.898956299,vp16_133_Session3_d03_b03_38
2,-0.898956299,vp16_133_Session3_d03_b03_38
0,-4.928527832,vp16_134_Session3_d03_b03_39
