,horizontal_difference,trial
0,-22.08627319,vp1_0_Session1_d01_fam01_1
1,-22.08627319,vp1_0_Session1_d01_fam01_1
2,-22.08627319,vp1_0_Session1_d01_fam01_1
0,2.665252685546875,vp1_1_Session1_d01_fam01_2
1,2.665252685546875,vp1_1_Session1_d01_fam01_2
2,2.665252685546875,vp1_1_Session1_d01_fam01_2
0,7.355529785,vp1_2_Session1_d01_fam01_3
1,7.355529785,vp1_2_Session1_d01_fam01_3
2,7.355529785,vp1_2_Session1_d01_fam01_3
0,23.28179931640625,vp1_3_Session1_d01_fam01_4
1,23.28179931640625,vp1_3_Session1_d01_fam01_4
2,23.28179931640625,vp1_3_Session1_d01_fam01_4
0,7.240722656,vp1_8_Session1_d01_fam01_9
1,7.240722656,vp1_8_Session1_d01_fam01_9
2,7.240722656,vp1_8_Session1_d01_fam01_9
0,3.848114013671875,vp1_15_Session1_d01_fam01_16
1,3.848114013671875,vp1_15_Session1_d01_fam01_16
2,3.848114013671875,vp1_15_Session1_d01_fam01_16
0,6.632537841796875,vp1_17_Session1_d01_fam01_18
1,6.632537841796875,vp1_17_Session1_d01_fam01_18
2,6.632537841796875,vp1_17_Session1_d01_fam01_18
0,10.57635498046875,vp1_18_Session1_d01_fam01_19
1,10.57635498046875,vp1_18_Session1_d01_fam01_19
2,10.57635498046875,vp1_18_Session1_d01_fam01_19
0,14.03485107421875,vp1_19_Session1_d01_fam01_20
1,14.03485107421875,vp1_19_Session1_d01_fam01_20
2,14.03485107421875,vp1_19_Session1_d01_fam01_20
0,17.27020263671875,vp1_20_Session1_d01_fam01_21
1,17.27020263671875,vp1_20_Session1_d01_fam01_21
2,17.27020263671875,vp1_20_Session1_d01_fam01_21
0,16.80194091796875,vp1_21_Session1_d01_fam01_22
1,16.80194091796875,vp1_21_Session1_d01_fam01_22
2,16.80194091796875,vp1_21_Session1_d01_fam01_22
0,25.659149169921875,vp1_24_Session1_d01_fam01_25
1,25.659149169921875,vp1_24_Session1_d01_fam01_25
2,25.659149169921875,vp1_24_Session1_d01_fam01_25
0,14.55157470703125,vp1_25_Session1_d01_fam01_26
1,14.55157470703125,vp1_25_Session1_d01_fam01_26
2,14.55157470703125,vp1_25_Session1_d01_fam01_26
0,20.486480712890625,vp1_26_Session1_d01_fam01_27
1,20.486480712890625,vp1_26_Session1_d01_fam01_27
2,20.486480712890625,vp1_26_Session1_d01_fam01_27
0,25.86230469,vp1_27_Session1_d01_fam01_28
1,25.86230469,vp1_27_Session1_d01_fam01_28
2,25.86230469,vp1_27_Session1_d01_fam01_28
0,35.261016845703125,vp1_29_Session1_d01_fam01_30
1,35.261016845703125,vp1_29_Session1_d01_fam01_30
2,35.261016845703125,vp1_29_Session1_d01_fam01_30
0,12.337493896484375,vp1_30_Session1_d01_fam01_31
1,12.337493896484375,vp1_30_Session1_d01_fam01_31
2,12.337493896484375,vp1_30_Session1_d01_fam01_31
